Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:shared_costs,Tag:workspace,Tag:Product,Tag:for-use-with-amazon-emr-managed-policies,Tag:Naming,Tag:Name,Tag:Cost Center,Tag:environment,Tag:APM_functional,Tag:service,Tag:CIA,Tag:aws:elasticmapreduce:job-flow-id,Tag:aws:elasticmapreduce:instance-group-role,Tag:sagemaker:project-name,Tag:sagemaker:user-profile-arn,Tag:sagemaker:domain-arn,Tag:sagemaker:project-id,Tag:aws:servicecatalog:productArn,Tag:aws:servicecatalog:provisioningPrincipalArn,Tag:aws:servicecatalog:provisioningArtifactIdentifier,Tag:aws:servicecatalog:portfolioArn,Tag:aws:servicecatalog:provisionedProductArn,Tag:sagemaker:pipeline-step-name,Tag:sagemaker:pipeline-execution-arn,Tag:ManagedByAmazonSageMakerResource,Tag:Description
sgtd2ae1as3mlopsinput001-con001,arn:aws:s3:us-east-1:954519111599:accesspoint/sgtd2ae1as3mlopsinput001-con001,s3:accesspoint,us-east-1,954519111599,2024-02-23T17:30:24Z,s3,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-09f0ba969df3af1d4,arn:aws:ec2:us-east-1:954519111599:volume/vol-09f0ba969df3af1d4,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-121g8syx1yyc-na-createmodel-model-2jtbsiybga,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-121g8syx1yyc-na-createmodel-model-2jtbsiybga,sagemaker:model,us-east-1,954519111599,2024-02-14T18:14:22Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/121g8syx1yyc,(not tagged),(not tagged)
default.redis7.cluster.on,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis7.cluster.on,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:elasticache:ap-southeast-2:954519111599:user:default,elasticache:user,ap-southeast-2,954519111599,2024-02-23T17:29:57Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:memorydb:us-west-1:954519111599:user/default,memorydb:user,us-west-1,954519111599,2024-02-23T17:32:05Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.6,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.memcached1.6,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis5.0,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis5.0,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-md7gdrwwo43iu/7d2958a0-c9fb-11ee-b4c4-0a217fb56d55,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-md7gdrwwo43iu/7d2958a0-c9fb-11ee-b4c4-0a217fb56d55,cloudformation:stack,us-east-1,954519111599,2024-02-12T23:07:27Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-d7ac10dd-574c-4555,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-4,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-odrhmyvq3m4u,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-p36sxp6drl2ba,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-d7ac10dd-574c-4555-p-odrhmyvq3m4u/pp-md7gdrwwo43iu,(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis7,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-039a7c587ba522699,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-039a7c587ba522699,ec2:network-interface,us-east-1,954519111599,2024-02-14T15:10:03Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-3/ml.t3.medium-kernelgateway,(not tagged)
i-0e1a679addb010350,arn:aws:ec2:us-east-1:954519111599:instance/i-0e1a679addb010350,ec2:instance,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis4.0.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis4.0.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0d09dc34d874decc2,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0d09dc34d874decc2,ec2:network-interface,us-east-1,954519111599,2024-02-16T17:36:02Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-1/system-jupyterserverorkernelgateway,(not tagged)
default,arn:aws:memorydb:sa-east-1:954519111599:user/default,memorydb:user,sa-east-1,954519111599,2024-02-23T17:30:36Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-p333jiso8pag-na-createmodel-model-zgzwo0fx4n,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-p333jiso8pag-na-createmodel-model-zgzwo0fx4n,sagemaker:model,us-east-1,954519111599,2024-02-14T01:43:44Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloFinal-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/p333jiso8pag,(not tagged),(not tagged)
SC-954519111599-pp-bmzcivl4h5dzg/a2900cd0-cf8a-11ee-949f-0ef1e3ef4217,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-bmzcivl4h5dzg/a2900cd0-cf8a-11ee-949f-0ef1e3ef4217,cloudformation:stack,us-east-1,954519111599,2024-02-20T00:54:44Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-cae5f8dd-b00f-4f81,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-kog8byjk6uvv,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-okwg3brxttpr4,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-cae5f8dd-b00f-4f81-p-kog8byjk6uvv/pp-bmzcivl4h5dzg,(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:memorydb:ap-southeast-2:954519111599:user/default,memorydb:user,ap-southeast-2,954519111599,2024-02-23T17:29:03Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-00dccaed8c5c31573,arn:aws:ec2:us-east-1:954519111599:volume/vol-00dccaed8c5c31573,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
ami-0af4a40ed207e6484,arn:aws:ec2:us-east-1:954519111599:image/ami-0af4a40ed207e6484,ec2:image,us-east-1,954519111599,2024-02-23T17:28:58Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-y643tsd6rvqvk/a5334120-d01e-11ee-b68a-12e338f285f5,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-y643tsd6rvqvk/a5334120-d01e-11ee-b68a-12e338f285f5,cloudformation:stack,us-east-1,954519111599,2024-02-20T18:34:14Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-6487c3ee-77c3-45bb,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-olaeeusfjuwt,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-rddsn7rzhzxv4,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-6487c3ee-77c3-45bb-p-olaeeusfjuwt/pp-y643tsd6rvqvk,(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-3mj6cjwoo719-na-createmodel-model-6xqdlkp1p8,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-3mj6cjwoo719-na-createmodel-model-6xqdlkp1p8,sagemaker:model,us-east-1,954519111599,2024-02-14T02:44:07Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/3mj6cjwoo719,(not tagged),(not tagged)
eni-07ab82a677bb393ee,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-07ab82a677bb393ee,ec2:network-interface,us-east-1,954519111599,2024-02-16T11:42:01Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-ynhexi0bejeg/erick-profile/system-jupyterserverorkernelgateway,(not tagged)
SC-954519111599-pp-mezlvhx4gtltg/29cb34c0-d023-11ee-8a58-0a7d03698b25,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-mezlvhx4gtltg/29cb34c0-d023-11ee-8a58-0a7d03698b25,cloudformation:stack,us-east-1,954519111599,2024-02-20T19:06:34Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-3650492c-6d8c-4dfb,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-njvmjvtuyhuu,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-2cnth3ll5a4ua,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-3650492c-6d8c-4dfb-p-njvmjvtuyhuu/pp-mezlvhx4gtltg,(not tagged),(not tagged),(not tagged),(not tagged)
default.redis4.0.cluster.on,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis4.0.cluster.on,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-0de0fa7da4a5ecc47,arn:aws:ec2:us-east-1:954519111599:volume/vol-0de0fa7da4a5ecc47,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
shared_costs,arn:aws:ssm:us-east-1:954519111599:parameter/shared_costs,ssm:parameter,us-east-1,954519111599,2024-02-23T17:29:03Z,ssm,2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),AHM,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SSM Parameter
default,arn:aws:elasticache:ap-northeast-3:954519111599:user:default,elasticache:user,ap-northeast-3,954519111599,2024-02-23T17:28:58Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-08f85c6197a133b2a,arn:aws:ec2:us-east-1:954519111599:volume/vol-08f85c6197a133b2a,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis7,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.5,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.memcached1.5,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-0b5e5e85f7035c046,arn:aws:ec2:us-east-1:954519111599:volume/vol-0b5e5e85f7035c046,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis2.8,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis2.8,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)